period,Coal_percentage,Natural_Gas_percentage,Oil_percentage,Nuclear_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-01T00,0.02%,49.36%,0.48%,12.46%,37.68%,14.12,16.38
2023-01-01T01,0.02%,50.50%,0.47%,12.23%,36.78%,14.28,16.52
2023-01-01T02,0.02%,49.22%,0.43%,11.78%,38.55%,13.66,15.73
2023-01-01T03,0.02%,50.02%,0.25%,12.34%,37.37%,12.35,13.81
2023-01-01T04,0.02%,51.85%,0.26%,12.99%,34.88%,12.83,14.36
2023-01-01T05,0.02%,50.77%,0.34%,13.26%,35.62%,13.23,15.00
2023-01-01T06,0.02%,56.03%,0.49%,14.18%,29.29%,15.53,17.87
2023-01-01T07,0.02%,59.26%,0.53%,14.39%,25.80%,16.57,19.11
2023-01-01T08,0.02%,58.05%,0.59%,15.40%,25.94%,16.79,19.51
2023-01-01T09,0.02%,50.44%,0.59%,15.47%,33.48%,15.24,17.88
2023-01-01T10,0.02%,48.01%,0.61%,15.80%,35.57%,14.84,17.49
2023-01-01T11,0.02%,43.67%,0.62%,16.27%,39.42%,14.08,16.74
2023-01-01T12,0.02%,42.68%,0.65%,16.68%,39.97%,14.06,16.79
2023-01-01T13,0.02%,47.43%,0.64%,16.62%,35.28%,15.03,17.81
2023-01-01T14,0.03%,47.75%,0.61%,15.95%,35.66%,14.83,17.50
2023-01-01T15,0.02%,45.33%,0.60%,15.62%,38.43%,14.22,16.82
2023-01-01T16,0.02%,41.49%,0.57%,14.82%,43.10%,13.19,15.63
2023-01-01T17,0.03%,29.07%,0.54%,14.21%,56.15%,10.43,12.64
2023-01-01T18,0.02%,24.78%,0.51%,13.43%,61.26%,9.25,11.29
2023-01-01T19,0.02%,26.24%,0.49%,12.76%,60.49%,9.39,11.37
2023-01-01T20,0.02%,28.15%,0.48%,12.51%,58.84%,9.71,11.68
2023-01-01T21,0.02%,28.55%,0.49%,12.72%,58.22%,9.85,11.86
2023-01-01T22,0.02%,27.22%,0.47%,12.39%,59.89%,9.47,11.42
2023-01-01T23,0.02%,25.79%,0.49%,12.75%,60.95%,9.29,11.26
2023-01-02T00,0.02%,31.68%,0.49%,12.82%,54.99%,10.52,12.58
2023-01-02T01,0.02%,40.22%,0.50%,13.01%,46.25%,12.35,14.54
2023-01-02T02,0.02%,43.08%,0.45%,11.74%,44.71%,12.59,14.66
2023-01-02T03,0.02%,45.43%,0.45%,11.60%,42.50%,13.03,15.12
2023-01-02T04,0.02%,46.19%,0.46%,11.94%,41.39%,13.29,15.44
2023-01-02T05,0.02%,46.33%,0.48%,12.49%,40.68%,13.45,15.64
2023-01-02T06,0.02%,46.66%,0.51%,13.08%,39.72%,13.79,16.11
2023-01-02T07,0.01%,48.32%,0.53%,13.60%,37.54%,14.30,16.71
2023-01-02T08,0.01%,50.31%,0.57%,14.64%,34.47%,15.04,17.61
2023-01-02T09,0.02%,57.09%,0.58%,14.77%,27.54%,16.48,19.16
2023-01-02T10,0.02%,57.80%,0.61%,15.65%,25.92%,16.91,19.70
2023-01-02T11,0.02%,58.18%,0.63%,16.11%,25.05%,17.13,19.99
2023-01-02T12,0.02%,59.73%,0.63%,16.07%,23.55%,17.44,20.31
2023-01-02T13,0.01%,59.95%,0.62%,15.95%,23.46%,17.44,20.30
2023-01-02T14,0.03%,64.64%,0.56%,14.40%,20.37%,17.92,20.64
2023-01-02T15,0.02%,66.75%,0.53%,13.75%,18.95%,18.10,20.74
2023-01-02T16,0.02%,63.55%,0.49%,12.67%,23.26%,17.11,19.56
2023-01-02T17,0.02%,48.05%,0.46%,11.66%,39.82%,13.63,15.77
2023-01-02T18,0.02%,40.12%,0.45%,11.56%,47.85%,11.96,13.99
2023-01-02T19,0.02%,38.98%,0.45%,11.69%,48.85%,11.72,13.75
2023-01-02T20,0.02%,43.19%,0.44%,11.43%,44.92%,12.51,14.55
2023-01-02T21,0.02%,43.74%,0.46%,11.78%,44.01%,12.74,14.83
2023-01-02T22,0.02%,44.02%,0.47%,12.04%,43.45%,12.92,15.07
2023-01-02T23,0.02%,53.15%,0.45%,11.60%,34.77%,14.63,16.82
2023-01-03T00,0.02%,60.42%,0.44%,11.14%,27.98%,16.03,18.26
2023-01-03T01,0.01%,67.09%,0.42%,10.73%,21.75%,17.27,19.53
2023-01-03T02,0.01%,62.48%,0.39%,10.10%,27.02%,16.08,18.19
2023-01-03T03,0.01%,62.78%,0.41%,10.38%,26.43%,16.27,18.43
2023-01-03T04,0.01%,61.81%,0.41%,10.71%,27.06%,16.09,18.25
2023-01-03T05,0.01%,58.86%,0.43%,11.07%,29.63%,15.64,17.82
2023-01-03T06,0.01%,60.24%,0.45%,11.45%,27.85%,16.08,18.36
2023-01-03T07,0.02%,63.37%,0.48%,12.39%,23.75%,17.03,19.46
2023-01-03T08,0.02%,66.01%,0.50%,12.92%,20.55%,17.74,20.28
2023-01-03T09,0.02%,67.01%,0.51%,13.11%,19.35%,18.01,20.58
2023-01-03T10,0.02%,69.28%,0.52%,13.35%,16.83%,18.56,21.19
