period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-01T00,15.47%,33.96%,12.46%,0.00%,38.12%,15.21,9.95
2023-01-01T01,14.33%,30.60%,12.24%,0.00%,42.82%,13.96,9.15
2023-01-01T02,12.07%,24.76%,12.41%,0.00%,50.75%,11.62,7.62
2023-01-01T03,11.88%,22.14%,12.63%,0.00%,53.36%,11.11,7.32
2023-01-01T04,12.09%,19.20%,12.84%,0.00%,55.86%,10.84,7.19
2023-01-01T05,11.66%,16.85%,13.23%,0.00%,58.26%,10.21,6.80
2023-01-01T06,10.83%,16.72%,13.61%,0.00%,58.85%,9.63,6.40
2023-01-01T07,9.98%,16.05%,14.03%,0.00%,59.93%,8.97,5.95
2023-01-01T08,9.71%,15.59%,14.27%,0.00%,60.43%,8.72,5.78
2023-01-01T09,9.82%,15.68%,14.51%,0.00%,59.98%,8.81,5.85
2023-01-01T10,9.94%,16.03%,14.68%,0.00%,59.35%,8.94,5.93
2023-01-01T11,9.93%,16.25%,14.75%,0.00%,59.07%,8.96,5.94
2023-01-01T12,9.96%,17.26%,14.72%,0.00%,58.07%,9.13,6.04
2023-01-01T13,10.44%,19.76%,14.43%,0.00%,55.37%,9.81,6.46
2023-01-01T14,11.70%,23.45%,14.21%,0.00%,50.64%,11.18,7.35
2023-01-01T15,12.84%,24.31%,14.01%,0.00%,48.85%,12.06,7.95
2023-01-01T16,11.79%,24.13%,13.72%,0.00%,50.36%,11.34,7.44
2023-01-01T17,12.99%,29.40%,13.64%,0.00%,43.97%,12.90,8.43
2023-01-01T18,13.42%,31.26%,13.64%,0.00%,41.69%,13.45,8.78
2023-01-01T19,12.64%,31.49%,13.39%,0.00%,42.48%,12.96,8.43
2023-01-01T20,13.60%,34.54%,13.27%,0.00%,38.59%,14.04,9.12
2023-01-01T21,14.02%,36.10%,13.18%,0.00%,36.69%,14.55,9.45
2023-01-01T22,13.66%,38.08%,12.94%,0.00%,35.32%,14.59,9.44
2023-01-01T23,15.42%,40.90%,12.87%,0.00%,30.81%,16.17,10.48
2023-01-02T00,16.61%,42.22%,12.70%,0.00%,28.47%,17.15,11.15
2023-01-02T01,13.76%,35.13%,12.25%,0.00%,38.86%,14.23,9.25
2023-01-02T02,11.07%,27.33%,12.34%,0.00%,49.26%,11.32,7.36
2023-01-02T03,10.68%,24.42%,12.39%,0.00%,52.50%,10.64,6.95
2023-01-02T04,11.12%,20.27%,12.63%,0.00%,55.97%,10.34,6.82
2023-01-02T05,10.77%,15.64%,12.91%,0.00%,60.68%,9.44,6.28
2023-01-02T06,9.85%,14.65%,13.41%,0.00%,62.09%,8.68,5.78
2023-01-02T07,9.72%,14.65%,13.89%,0.00%,61.74%,8.59,5.71
2023-01-02T08,9.70%,14.99%,14.23%,0.00%,61.08%,8.63,5.73
2023-01-02T09,9.74%,15.18%,14.42%,0.00%,60.66%,8.68,5.77
2023-01-02T10,9.89%,15.54%,14.64%,0.00%,59.94%,8.84,5.87
2023-01-02T11,9.89%,15.85%,14.63%,0.00%,59.64%,8.88,5.89
2023-01-02T12,9.81%,16.35%,14.49%,0.00%,59.35%,8.90,5.89
2023-01-02T13,9.37%,16.90%,13.83%,0.00%,59.89%,8.69,5.73
2023-01-02T14,9.51%,19.10%,13.35%,0.00%,58.05%,9.09,5.97
2023-01-02T15,11.07%,23.24%,13.06%,0.00%,52.63%,10.73,7.03
2023-01-02T16,11.29%,25.04%,12.53%,0.00%,51.14%,11.13,7.28
2023-01-02T17,11.59%,25.33%,12.20%,0.00%,50.87%,11.38,7.45
2023-01-02T18,11.42%,24.30%,11.91%,0.00%,52.36%,11.12,7.28
2023-01-02T19,10.43%,21.49%,11.67%,0.00%,56.41%,10.05,6.59
2023-01-02T20,10.03%,22.78%,11.45%,0.00%,55.74%,9.97,6.51
2023-01-02T21,10.18%,22.84%,11.42%,0.00%,55.56%,10.08,6.59
2023-01-02T22,11.01%,22.96%,11.31%,0.00%,54.72%,10.65,6.99
2023-01-02T23,11.30%,22.98%,11.27%,0.00%,54.45%,10.85,7.12
2023-01-03T00,11.88%,25.18%,11.07%,0.00%,51.88%,11.55,7.57
2023-01-03T01,14.63%,26.76%,10.94%,0.00%,47.67%,13.61,8.98
2023-01-03T02,15.19%,27.54%,11.20%,0.00%,46.07%,14.10,9.30
2023-01-03T03,14.68%,27.66%,11.50%,0.00%,46.15%,13.78,9.08
2023-01-03T04,14.18%,27.08%,11.82%,0.00%,46.92%,13.36,8.80
2023-01-03T05,12.77%,23.86%,12.35%,0.00%,51.02%,11.95,7.88
2023-01-03T06,11.35%,19.78%,13.09%,0.00%,55.79%,10.42,6.89
2023-01-03T07,10.92%,16.35%,13.80%,0.00%,58.93%,9.64,6.41
2023-01-03T08,10.64%,15.15%,14.40%,0.00%,59.81%,9.28,6.18
2023-01-03T09,10.44%,15.57%,14.73%,0.00%,59.26%,9.21,6.13
2023-01-03T10,10.19%,16.30%,14.86%,0.00%,58.66%,9.14,6.07
2023-01-03T11,10.30%,18.37%,14.74%,0.00%,56.59%,9.51,6.28
2023-01-03T12,10.68%,22.65%,14.12%,0.00%,52.55%,10.38,6.80
2023-01-03T13,11.21%,30.06%,13.30%,0.00%,45.43%,11.80,7.65
2023-01-03T14,12.23%,34.51%,12.80%,0.00%,40.45%,13.12,8.48
2023-01-03T15,12.72%,33.64%,12.68%,0.00%,40.96%,13.32,8.64
2023-01-03T16,14.81%,35.03%,12.61%,0.00%,37.55%,14.92,9.73
2023-01-03T17,13.33%,35.16%,12.51%,0.00%,39.00%,13.95,9.05
2023-01-03T18,12.30%,34.89%,12.31%,0.00%,40.50%,13.22,8.54
2023-01-03T19,13.38%,35.90%,12.18%,0.00%,38.54%,14.09,9.13
2023-01-03T20,12.89%,36.42%,12.09%,0.00%,38.60%,13.83,8.94
2023-01-03T21,12.68%,36.37%,12.03%,0.00%,38.92%,13.69,8.84
2023-01-03T22,12.47%,37.46%,11.90%,0.00%,38.16%,13.71,8.83
2023-01-03T23,11.63%,40.23%,11.84%,0.00%,36.29%,13.54,8.66
2023-01-04T00,13.76%,48.82%,11.90%,0.00%,25.52%,16.19,10.34
2023-01-04T01,14.94%,50.70%,11.57%,0.00%,22.78%,17.25,11.05
2023-01-04T02,14.64%,47.97%,11.66%,0.00%,25.74%,16.66,10.69
2023-01-04T03,13.57%,46.32%,11.93%,0.00%,28.18%,15.71,10.06
2023-01-04T04,12.96%,44.27%,12.35%,0.00%,30.41%,15.01,9.61
2023-01-04T05,13.18%,43.04%,13.01%,0.00%,30.76%,14.98,9.61
2023-01-04T06,13.13%,41.37%,13.77%,0.00%,31.73%,14.71,9.45
2023-01-04T07,13.64%,37.96%,14.26%,0.00%,34.13%,14.56,9.42
2023-01-04T08,14.02%,33.54%,14.59%,0.00%,37.85%,14.18,9.24
2023-01-04T09,13.33%,32.59%,14.63%,0.00%,39.46%,13.58,8.84
2023-01-04T10,13.58%,33.46%,14.45%,0.00%,38.52%,13.87,9.03
2023-01-04T11,13.86%,36.02%,14.12%,0.00%,36.01%,14.42,9.36
2023-01-04T12,14.35%,37.98%,13.25%,0.00%,34.42%,15.04,9.75
2023-01-04T13,15.27%,41.97%,12.21%,0.00%,30.54%,16.22,10.50
2023-01-04T14,15.17%,42.63%,11.63%,0.00%,30.57%,16.25,10.50
2023-01-04T15,13.22%,37.47%,11.57%,0.00%,37.74%,14.21,9.18
2023-01-04T16,11.56%,31.59%,11.68%,0.00%,45.17%,12.26,7.94
2023-01-04T17,10.58%,27.76%,11.86%,0.00%,49.80%,11.05,7.17
2023-01-04T18,10.38%,25.66%,12.04%,0.00%,51.92%,10.62,6.91
2023-01-04T19,10.24%,27.00%,12.23%,0.00%,50.53%,10.72,6.95
2023-01-04T20,10.04%,27.45%,12.22%,0.00%,50.28%,10.65,6.89
2023-01-04T21,9.39%,27.18%,12.25%,0.00%,51.18%,10.17,6.57
2023-01-04T22,9.39%,28.64%,12.14%,0.00%,49.83%,10.38,6.69
2023-01-04T23,9.97%,35.34%,12.10%,0.00%,42.59%,11.73,7.50
2023-01-05T00,12.22%,53.42%,12.04%,0.00%,22.33%,15.82,9.99
2023-01-05T01,13.20%,59.42%,11.69%,0.00%,15.69%,17.34,10.93
2023-01-05T02,13.09%,56.48%,11.67%,0.00%,18.75%,16.85,10.65
2023-01-05T03,13.09%,54.18%,11.73%,0.00%,21.00%,16.52,10.46
2023-01-05T04,13.37%,54.40%,11.94%,0.00%,20.29%,16.73,10.61
2023-01-05T05,13.64%,54.27%,12.44%,0.00%,19.65%,16.90,10.73
2023-01-05T06,13.40%,52.85%,12.92%,0.00%,20.83%,16.53,10.50
2023-01-05T07,13.79%,52.47%,13.34%,0.00%,20.40%,16.74,10.65
2023-01-05T08,14.63%,54.51%,13.43%,0.00%,17.43%,17.59,11.21
2023-01-05T09,15.20%,57.56%,13.53%,0.00%,13.71%,18.41,11.72
2023-01-05T10,15.23%,58.82%,13.55%,0.00%,12.40%,18.61,11.83
2023-01-05T11,14.72%,61.20%,13.11%,0.00%,10.97%,18.61,11.79
2023-01-05T12,13.75%,63.70%,12.35%,0.00%,10.20%,18.32,11.53
2023-01-05T13,13.21%,67.43%,11.37%,0.00%,7.99%,18.50,11.58
2023-01-05T14,14.07%,68.98%,10.88%,0.00%,6.07%,19.30,12.11
2023-01-05T15,13.32%,64.59%,11.01%,0.00%,11.08%,18.16,11.41
2023-01-05T16,12.62%,55.97%,11.27%,0.00%,20.14%,16.46,10.39
2023-01-05T17,12.97%,54.02%,11.56%,0.00%,21.46%,16.41,10.39
2023-01-05T18,13.26%,52.41%,11.93%,0.00%,22.40%,16.38,10.40
2023-01-05T19,13.47%,51.17%,12.23%,0.00%,23.13%,16.34,10.40
2023-01-05T20,13.51%,49.76%,12.40%,0.00%,24.32%,16.16,10.31
2023-01-05T21,12.78%,48.35%,12.48%,0.00%,26.40%,15.47,9.85
2023-01-05T22,12.30%,47.15%,12.42%,0.00%,28.13%,14.98,9.53
2023-01-05T23,13.13%,51.48%,12.31%,0.00%,23.08%,16.15,10.26
2023-01-06T00,15.81%,58.62%,12.15%,0.00%,13.43%,18.97,12.09
2023-01-06T01,14.88%,57.01%,11.72%,0.00%,16.38%,18.12,11.53
2023-01-06T02,13.51%,49.48%,11.73%,0.00%,25.28%,16.12,10.28
