period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-01T00,14.35%,39.30%,37.89%,0.20%,8.25%,22.54,14.32
2023-01-01T01,14.04%,37.59%,38.69%,0.22%,9.46%,21.96,13.97
2023-01-01T02,13.98%,36.49%,39.71%,0.25%,9.56%,21.77,13.88
2023-01-01T03,14.18%,36.09%,40.78%,0.28%,8.68%,21.97,14.03
2023-01-01T04,14.52%,34.20%,41.60%,0.28%,9.40%,22.06,14.11
2023-01-01T05,16.34%,36.96%,42.25%,0.24%,4.22%,24.44,15.62
2023-01-01T06,14.42%,31.38%,43.04%,0.24%,10.92%,21.44,13.73
2023-01-01T07,14.78%,30.55%,44.06%,0.25%,10.36%,21.73,13.94
2023-01-01T08,14.89%,31.53%,44.22%,0.25%,9.12%,22.00,14.10
2023-01-01T09,14.83%,31.67%,44.74%,0.26%,8.51%,21.97,14.08
2023-01-01T10,14.57%,31.23%,45.23%,0.26%,8.71%,21.62,13.86
2023-01-01T11,14.62%,31.50%,45.20%,0.26%,8.42%,21.72,13.92
2023-01-01T12,14.39%,32.74%,44.46%,0.26%,8.17%,21.64,13.85
2023-01-01T13,14.31%,33.97%,43.67%,0.25%,7.81%,21.74,13.89
2023-01-01T14,14.28%,33.53%,43.68%,0.25%,8.26%,21.64,13.83
2023-01-01T15,14.19%,34.58%,43.31%,0.25%,7.67%,21.70,13.86
2023-01-01T16,14.02%,35.45%,42.93%,0.25%,7.35%,21.65,13.81
2023-01-01T17,13.90%,36.11%,42.52%,0.24%,7.24%,21.60,13.76
2023-01-01T18,13.82%,36.62%,42.36%,0.23%,6.98%,21.57,13.73
2023-01-01T19,13.86%,36.70%,42.26%,0.23%,6.95%,21.64,13.78
2023-01-01T20,13.77%,37.57%,42.18%,0.23%,6.25%,21.68,13.79
2023-01-01T21,13.40%,39.76%,40.93%,0.23%,5.69%,21.59,13.69
2023-01-01T22,12.78%,40.36%,38.93%,0.21%,7.72%,20.97,13.27
2023-01-01T23,12.78%,41.52%,38.22%,0.21%,7.28%,21.14,13.37
2023-01-02T00,12.77%,41.36%,38.46%,0.21%,7.20%,21.12,13.35
2023-01-02T01,12.91%,42.20%,38.64%,0.21%,6.03%,21.41,13.54
