period,Coal_percentage,Natural_Gas_percentage,Nuclear_percentage,Oil_percentage,Renewable_percentage,internal_health_cost,external_health_cost
2023-01-01T00,7.03%,19.41%,51.37%,0.00%,22.18%,3.96,13.11
2023-01-01T01,7.10%,17.49%,52.20%,0.00%,23.21%,3.90,13.03
2023-01-01T02,7.27%,16.28%,53.22%,0.00%,23.23%,3.91,13.18
2023-01-01T03,7.33%,16.68%,55.22%,0.00%,20.78%,3.96,13.32
2023-01-01T04,7.70%,16.80%,57.26%,0.00%,18.24%,4.12,13.92
2023-01-01T05,7.95%,16.29%,58.96%,0.00%,16.79%,4.21,14.28
2023-01-01T06,8.00%,16.44%,60.99%,0.00%,14.57%,4.23,14.37
2023-01-01T07,8.53%,18.57%,63.41%,0.00%,9.49%,4.56,15.42
2023-01-01T08,8.71%,18.47%,64.57%,0.00%,8.26%,4.63,15.69
2023-01-01T09,8.75%,17.97%,65.92%,0.00%,7.35%,4.63,15.72
2023-01-01T10,8.91%,16.60%,66.67%,0.00%,7.82%,4.63,15.84
2023-01-01T11,8.87%,16.91%,66.31%,0.00%,7.91%,4.63,15.81
2023-01-01T12,8.61%,17.91%,64.70%,0.00%,8.78%,4.57,15.49
2023-01-01T13,8.38%,19.45%,62.53%,0.00%,9.64%,4.54,15.26
2023-01-01T14,8.13%,18.78%,60.93%,0.00%,12.16%,4.40,14.80
2023-01-01T15,7.78%,19.53%,58.66%,0.00%,14.03%,4.29,14.32
2023-01-01T16,7.63%,18.50%,57.48%,0.00%,16.39%,4.17,13.99
2023-01-01T17,7.76%,18.46%,57.47%,0.00%,16.31%,4.23,14.18
2023-01-01T18,7.53%,19.04%,57.90%,0.00%,15.52%,4.16,13.88
2023-01-01T19,7.54%,18.65%,58.14%,0.00%,15.67%,4.14,13.84
2023-01-01T20,7.77%,19.77%,58.11%,0.00%,14.36%,4.29,14.32
2023-01-01T21,8.18%,19.64%,58.38%,0.00%,13.80%,4.46,14.97
2023-01-01T22,8.23%,19.71%,58.29%,0.00%,13.78%,4.49,15.05
2023-01-01T23,8.04%,21.18%,56.82%,0.00%,13.96%,4.48,14.90
2023-01-02T00,7.74%,19.98%,53.66%,0.00%,18.62%,4.29,14.30
2023-01-02T01,7.70%,18.61%,53.93%,0.00%,19.77%,4.21,14.09
2023-01-02T02,7.88%,19.33%,54.63%,0.00%,18.15%,4.32,14.46
2023-01-02T03,8.03%,19.27%,56.09%,0.00%,16.61%,4.38,14.69
2023-01-02T04,8.49%,18.24%,58.90%,0.00%,14.38%,4.53,15.32
2023-01-02T05,9.00%,17.55%,62.39%,0.00%,11.06%,4.72,16.07
2023-01-02T06,9.25%,17.88%,64.23%,0.00%,8.64%,4.84,16.51
2023-01-02T07,9.56%,19.77%,66.25%,0.00%,4.43%,5.06,17.18
2023-01-02T08,10.11%,18.08%,67.33%,0.00%,4.48%,5.22,17.90
2023-01-02T09,10.63%,18.56%,67.93%,0.00%,2.89%,5.47,18.78
2023-01-02T10,10.67%,20.15%,67.63%,0.00%,1.56%,5.56,18.99
2023-01-02T11,10.76%,21.55%,66.07%,0.00%,1.63%,5.67,19.27
2023-01-02T12,10.63%,23.56%,62.95%,0.00%,2.87%,5.70,19.25
2023-01-02T13,10.39%,22.97%,59.17%,-0.01%,7.48%,5.52,18.69
2023-01-02T14,11.33%,21.21%,57.26%,0.00%,10.21%,5.89,20.15
2023-01-02T15,11.56%,21.44%,55.08%,0.00%,11.93%,6.00,20.53
2023-01-02T16,12.10%,19.29%,54.44%,0.00%,14.16%,6.14,21.20
2023-01-02T17,12.85%,19.32%,53.31%,0.00%,14.52%,6.46,22.39
2023-01-02T18,13.51%,17.95%,53.33%,0.01%,15.20%,6.72,23.43
2023-01-02T19,13.54%,17.29%,53.59%,0.00%,15.58%,6.66,23.30
2023-01-02T20,12.52%,18.50%,53.38%,0.00%,15.60%,6.28,21.78
2023-01-02T21,11.92%,18.95%,53.41%,0.00%,15.72%,6.04,20.88
2023-01-02T22,11.79%,19.50%,52.68%,0.00%,16.03%,6.01,20.71
2023-01-02T23,11.49%,20.10%,51.30%,0.00%,17.11%,5.91,20.29
2023-01-03T00,10.85%,18.01%,48.93%,0.00%,22.21%,5.53,19.07
2023-01-03T01,10.88%,16.74%,49.34%,0.00%,23.04%,5.49,18.99
2023-01-03T02,11.31%,15.23%,50.38%,0.00%,23.08%,5.60,19.53
